issue_id,category,sheet,spreadsheet_row,source_term,source_iri,ttl_predicate,spreadsheet_relation,ttl_target,spreadsheet_target,ttl_line,recommended_action
ISSUE-0001,missing_in_spreadsheet,,,sosa:Sensor,http://www.w3.org/ns/sosa/Sensor,rdfs:subClassOf,,bfo:BFO_0000017; bfo:BFO_0000040; bfo:BFO_0000054; bfo:BFO_0000196; sosa:Observation; cco:ont00001787,,522,Reconcile this extra TTL mapping with the source spreadsheet row for the same term.
ISSUE-0002,missing_in_ttl,Common DPs,2,sosa:hasSimpleResult,http://www.w3.org/ns/sosa/hasSimpleResult,,rdfs:subPropertyOf,,owl:topDataProperty,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0003,missing_in_ttl,Common DPs,3,sosa:resultTime,http://www.w3.org/ns/sosa/resultTime,,rdfs:subPropertyOf,,owl:topDataProperty,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0004,missing_in_ttl,Sample Relationship,5,sampling:RelationshipNature,http://www.w3.org/ns/sosa/sampling/RelationshipNature,,rdfs:subClassOf,,cco:ont00000958,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0005,missing_in_ttl,Sample Relationship,6,sampling:SampleRelationship,http://www.w3.org/ns/sosa/sampling/SampleRelationship,,rdfs:subClassOf,,cco:ont00000958,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0006,missing_in_ttl,Sample Relationship,6,sampling:SampleRelationship,http://www.w3.org/ns/sosa/sampling/SampleRelationship,,rdfs:subClassOf,,owl:Restriction; owl:onProperty; owl:someValuesFrom; sosa:Sample; sampling:relatedSample,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0007,missing_in_ttl,Sample Relationship,6,sampling:SampleRelationship,http://www.w3.org/ns/sosa/sampling/SampleRelationship,,rdfs:subClassOf,,owl:Restriction; owl:onProperty; owl:someValuesFrom; sampling:RelationshipNature; sampling:natureOfRelationship,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0008,missing_in_ttl,Common OPs,15,sosa:hosts,http://www.w3.org/ns/sosa/hosts,,rdfs:subPropertyOf,,bfo:BFO_0000054; bfo:BFO_0000057; bfo:BFO_0000196; owl:ObjectProperty; owl:propertyChainAxiom,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0009,missing_in_ttl,Common OPs,15,sosa:hosts,http://www.w3.org/ns/sosa/hosts,,rdfs:subPropertyOf,,bfo:BFO_0000054; bfo:BFO_0000057; bfo:BFO_0000196; owl:ObjectProperty; owl:inverseOf; owl:propertyChainAxiom,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0010,missing_in_ttl,Common OPs,16,ssn:implementedBy,http://www.w3.org/ns/ssn/implementedBy,,rdfs:subPropertyOf,,owl:inverseOf; owl:propertyChainAxiom; cco:ont00001787; cco:ont00001920,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
ISSUE-0011,missing_in_ttl,Common Classes,18,sosa:Sensor,http://www.w3.org/ns/sosa/Sensor,,owl:equivalentClass,,bfo:BFO_0000040; bfo:BFO_0000196; cco:ont00000569,,Add or revise the TTL mapping only after confirming the spreadsheet row is authoritative.
