external_row,section,term,definition,external_verdict,original_axiom,corrected_axiom,external_notes,match_kind,coms_subject,coms_sheet,coms_row,coms_row_id,coms_status,coms_predicate,coms_target,coms_reasoning,preliminary_disposition,validated_disposition,validated_basis
2,Common Classes,sosa:ActuatingProcedure,"workflow, protocol, plan, algorithm, or computational method specifying how to make an Actuation",Decision needed (default in place),subClassOf sosa:Procedure and (cco:prescribes some sosa:Actuation),"sosa:ActuatingProcedure rdfs:subClassOf sosa:Procedure , [ a owl:Restriction ; owl:onProperty cco:ont00001942 ; owl:allValuesFrom sosa:Actuation ] ; rdfs:comment ""A Procedure all of whose prescribed acts are Actuations (allValuesFrom). See Decisions needed (Procedure family).""@en .","sosa:ActuatingProcedure is a subclass of sosa:Procedure because it is a prescriptive information content entity that specifies how an actuation is to be carried out. The existential restriction on cco:prescribes captures that every sosa:ActuatingProcedure must prescribe at least one sosa:Actuation, distinguishing it from sosa:ObservingProcedure and sosa:SamplingProcedure.",exact,sosa:ActuatingProcedure,Sheet1,2,urn:uuid:11668420-475b-467e-ba23-7f96488ec7e2,active,rdfs:subClassOf,sosa:Procedure and (cco:prescribes some sosa:Actuation),,human decision required,,
3,Common Classes,sosa:Actuation,act of carrying out an ActuatingProcedure using an Actuator to change the value of an actuatable Property of a FeatureOfInterest,OK as-is,equivalentTo cco:PlannedAct and (sosa:actsOnProperty some sosa:Property),sosa:Actuation owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( cco:ont00000228 [ a owl:Restriction ; owl:onProperty sosa:actsOnProperty ; owl:someValuesFrom sosa:Property ] ) ] .,sosa:Actuation is modeled as a cco:PlannedAct because it is intentionally carried out according to a procedure in order to change the state of the world. sosa:ActuatableProperty is deprecated in SOSA 2023 — the range is now sosa:Property. The equivalentTo axiom is used because being a planned act that acts on a property is both necessary and sufficient for being an actuation.,exact,sosa:Actuation,Sheet1,3,urn:uuid:a4d06a9e-8e56-4199-86f5-82c2ea87766b,active,owl:equivalentClass,cco:PlannedAct and (sosa:actsOnProperty some sosa:Property),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
4,Common Classes,sosa:ActuationCollection,set of one or more Actuations or ActuationCollections; collections may be nested,OK as-is,subClassOf bfo:Process and (bfo:has_occurrent_part some (sosa:Actuation or sosa:ActuationCollection)),sosa:ActuationCollection rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000015 [ a owl:Restriction ; owl:onProperty obo:BFO_0000117 ; owl:someValuesFrom [ a owl:Class ; owl:unionOf ( sosa:Actuation sosa:ActuationCollection ) ] ] ) ] .,"ActuationCollection is modeled as a bfo:Process because an ActuationCollection is itself an occurrent that takes place over the time span covered by its member Actuations and shares the process nature of its members. The axiom uses only a some-restriction on bfo:has_occurrent_part and deliberately omits an only-restriction. An only-restriction would be incorrect here because bfo:has_occurrent_part is transitive and ranges over all occurrent parts at any depth, including the internal sub-processes of the member Actuations themselves. Asserting bfo:has_occurrent_part only sosa:Actuation on the collection would force every internal sub-process of every member to also be a sosa:Actuation, which is wrong. The homogeneity of direct collection members is a constraint on direct sosa:hasMember edges, not on deep BFO occurrent parthood, and is enforced by the SHACL shape on sosa:hasMember (see Common OPs: sosa:hasMember). Note the terminological distinction: ""SOSA member"" refers to the sosa:hasMember relation between a collection and the things it gathers; ""BFO occurrent part"" is the mereological relation that holds transitively over all sub-processes. These two concepts are intentionally decoupled in this workbook. The parthood of at least one member is asserted at the class level via bfo:has_occurrent_part rather than through sosa:hasMember, because sosa:hasMember carries no parthood sub-property assertion (see Common OPs: sosa:hasMember). This row and the hasMember row work as a pair: the class carries the BFO parthood entailment where it is well-defined, the property carries the uniform SOSA collection-membership semantics, and SHACL shapes on hasMember validate member types per collection class.",exact,sosa:ActuationCollection,Sheet1,4,urn:uuid:31becfe4-ccc5-4100-a7c2-a59fe2f86b19,active,rdfs:subClassOf,bfo:Process and (bfo:has_occurrent_part some (sosa:Actuation or sosa:ActuationCollection)),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
5,Common Classes,sosa:Actuator,System that implements an ActuatingProcedure to change the value of an actuatable Property,Syntactic repair,"subClassOf bfo:MaterialEntity
    and (bfo:bearer_of some
         (bfo:RealizableEntity and (bfo:realizes some sosa:Actuation)))
    and (cco:agent_in some sosa:Actuation)","sosa:Actuator rdfs:subClassOf obo:BFO_0000040 , [ a owl:Restriction ; owl:onProperty obo:BFO_0000196 ; owl:someValuesFrom [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000017 [ a owl:Restriction ; owl:onProperty obo:BFO_0000054 ; owl:someValuesFrom sosa:Actuation ] ) ] ] , [ a owl:Restriction ; owl:onProperty cco:ont00001787 ; owl:someValuesFrom sosa:Actuation ] ; rdfs:comment ""Fixed realization direction: the borne realizable is 'realized in' (obo:BFO_0000054) an Actuation, not 'realizes' it (the workbook's obo:BFO_0000055 typed the filler realizable-and-process = unsatisfiable). Retains the workbook's episodic reading (an actual Actuation is entailed); see Decisions needed for the dispositional alternative recorded on the sibling Sensor row.""@en .","sosa:Actuator is a bfo:MaterialEntity because actuators are physical devices. The bfo:RealizableEntity it bears is realized in actuation processes, capturing the functional rather than purely structural definition of actuators. The cco:agent_in restriction captures that the actuator plays a causative role in the actuation.",exact,sosa:Actuator,Sheet1,5,urn:uuid:dc44970b-082c-43c9-bf91-a3cec17e9e81,active,rdfs:subClassOf,bfo:MaterialEntity and (bfo:bearer_of some (bfo:RealizableEntity and (bfo:has_realization some sosa:Actuation))) and (cco:agent_in some sosa:Actuation),,compare and adapt only after IRI/version verification,,
6,Common Classes,sosa:Deployment,arrangement of one or more Assets to execute Procedures with respect to designated features of interest.,Decision needed (default in place),equivalentTo cco:PlannedAct and (sosa:deployedSystem some sosa:System) and (sosa:deployedOnPlatform some bfo:MaterialEntity),"sosa:Deployment owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( cco:ont00000228 [ a owl:Restriction ; owl:onProperty sosa:deployedSystem ; owl:someValuesFrom sosa:System ] ) ] ; rdfs:comment ""Recommended repair: a Planned Act deploying at least one System. The workbook's additional 'deployedOnPlatform some MaterialEntity' conjunct is dropped: the SOSA definition has no platform requirement, so a platform-less deployment would otherwise entail a phantom target. See Decisions needed.""@en .","sosa:Deployment is modeled as a cco:PlannedAct because it involves intentional positioning or installation of systems for a purpose, rather than constituting a structural relation such as parthood. The equivalentTo axiom captures that deploying at least one system on at least one material entity is both necessary and sufficient for being a deployment.",exact,sosa:Deployment,Sheet1,6,urn:uuid:e048daa4-a241-46b8-97ea-64aa13f58ae2,active,owl:equivalentClass,cco:PlannedAct and (sosa:deployedSystem some sosa:System) and (sosa:deployedOnPlatform some bfo:MaterialEntity),,human decision required,,
7,Common Classes,sosa:Execution,act of carrying out a Procedure using a System,OK as-is,subClassOf cco:PlannedAct and (cco:prescribed_by some sosa:Procedure) and (cco:has_agent some sosa:System),sosa:Execution rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( cco:ont00000228 [ a owl:Restriction ; owl:onProperty cco:ont00001920 ; owl:someValuesFrom sosa:Procedure ] [ a owl:Restriction ; owl:onProperty cco:ont00001833 ; owl:someValuesFrom sosa:System ] ) ] .,"sosa:Execution is a subclass of cco:PlannedAct because it is intentionally carried out according to a procedure by a system acting as an agent. It is a subclass rather than equivalentTo because the conditions given are necessary but not sufficient — additional constraints apply in specialized subclasses such as sosa:Observation, sosa:Actuation, and sosa:Sampling.",exact,sosa:Execution,Sheet1,7,urn:uuid:31eb03df-4e8b-469b-b563-63679a5bf66b,active,rdfs:subClassOf,cco:PlannedAct and (cco:prescribed_by some sosa:Procedure) and (cco:has_agent some sosa:System),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
8,Common Classes,sosa:ExecutionCollection,set of one or more Executions or ExecutionCollections; collections may be nested,OK as-is,subClassOf bfo:Process and (bfo:has_occurrent_part some (sosa:Execution or sosa:ExecutionCollection)),sosa:ExecutionCollection rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000015 [ a owl:Restriction ; owl:onProperty obo:BFO_0000117 ; owl:someValuesFrom [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection ) ] ] ) ] .,"ExecutionCollection is the most general of the four process-flavored SOSA collection classes, covering any collection of acts of carrying out a Procedure — including Observations, Actuations, and Samplings, which are its subclasses. It is modeled as a bfo:Process because an ExecutionCollection is itself an occurrent that takes place over the time span of its member Executions. Note that sosa:ObservationCollection, sosa:ActuationCollection, and sosa:SamplingCollection are specializations of sosa:ExecutionCollection (since their member types are specializations of sosa:Execution), so the entailments chain naturally and no separate bridge axiom is needed. The axiom uses only a some-restriction on bfo:has_occurrent_part and deliberately omits an only-restriction. An only-restriction would be incorrect here because bfo:has_occurrent_part is transitive and ranges over all occurrent parts at any depth, including the internal sub-processes of the member Executions themselves. Asserting bfo:has_occurrent_part only sosa:Execution on the collection would force every internal sub-process of every member to also be a sosa:Execution, which is wrong. The homogeneity of direct collection members is enforced by the SHACL shape on sosa:hasMember (see Common OPs: sosa:hasMember). Note the terminological distinction: ""SOSA member"" refers to the sosa:hasMember relation; ""BFO occurrent part"" is the mereological relation that holds transitively. These are intentionally decoupled. The parthood of at least one member is asserted at the class level rather than through sosa:hasMember, because sosa:hasMember carries no parthood sub-property assertion (see Common OPs: sosa:hasMember). This row and the hasMember row work as a pair.",exact,sosa:ExecutionCollection,Sheet1,8,urn:uuid:07060322-415d-4b32-baab-984fa77abbd6,active,rdfs:subClassOf,bfo:Process and (bfo:has_occurrent_part some (sosa:Execution or sosa:ExecutionCollection)),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
9,Common Classes,sosa:FeatureOfInterest,entity that is the target of an Execution or Deployment,Semantic redesign,equivalentTo bfo:Entity and (sosa:isFeatureOfInterestOf some (sosa:Observation or sosa:Sampling or sosa:Actuation)),"sosa:FeatureOfInterest owl:equivalentClass [ a owl:Class ; owl:intersectionOf ( obo:BFO_0000001 [ a owl:Restriction ; owl:onProperty sosa:isFeatureOfInterestOf ; owl:someValuesFrom [ a owl:Class ; owl:unionOf ( sosa:Execution sosa:ExecutionCollection sosa:Deployment ) ] ] ) ] ; rdfs:comment ""A bfo:Entity that is the feature of interest of some Execution, ExecutionCollection, or Deployment (target widened from the workbook's Observation-or-Sampling-or-Actuation to match the native range of sosa:isFeatureOfInterestOf). The published BFO-Mappings release instead uses a one-way upper union (specifically dependent continuant, process profile, material entity, or process); that was tried and REVERTED, because it excludes immaterial continuants, so an immaterial FeatureOfInterest (a site, a spatial region, an airspace — all legitimate in SOSA) is forced into an empty class and the ontology is inconsistent. The bfo:Entity upper bound here admits immaterial features of interest.""@en .","SOSA places no type restriction on sosa:FeatureOfInterest — the thing whose property is observed, sampled, or actuated can be any kind of entity. So instead of the earlier disjunction over bfo:MaterialEntity and bfo:Process, the feature of interest is modeled as a bfo:Entity, with the defining condition carried entirely by the relation: being the feature of interest of at least one sosa:Observation, sosa:Sampling, or sosa:Actuation. Since bfo:Entity is the top type, the class is effectively defined by that relation alone. The relation target is given as the SOSA acts (Observation/Sampling/Actuation) rather than cco:ActOfMeasuring so it agrees with the declared range of sosa:isFeatureOfInterestOf (Execution or Deployment). A single relation (sosa:isFeatureOfInterestOf) replaces the earlier split between cco:is_object_of and sosa:isFeatureOfInterestOf.",exact,sosa:FeatureOfInterest,Sheet1,9,urn:uuid:f7f210fc-b43d-4275-b122-0993282dc688,active,owl:equivalentClass,bfo:Entity and (sosa:isFeatureOfInterestOf some (sosa:Observation or sosa:Sampling or sosa:Actuation)),,substantive reconciliation required,,
10,Common Classes,sosa:MaterialSample,"subset of a FeatureOfInterest that is physical (i.e., tangible)",OK as-is,subClassOf sosa:Sample and bfo:MaterialEntity and (cco:is_output_of some sosa:Sampling),sosa:MaterialSample rdfs:subClassOf [ a owl:Class ; owl:intersectionOf ( sosa:Sample obo:BFO_0000040 [ a owl:Restriction ; owl:onProperty cco:ont00001816 ; owl:someValuesFrom sosa:Sampling ] ) ] .,"sosa:MaterialSample is a subclass of both sosa:Sample and bfo:MaterialEntity because it is a physical sample produced by a sampling process. The cco:is_output_of restriction captures that it must be the output of at least one sosa:Sampling, distinguishing it from samples defined by spatial or statistical criteria.",exact,sosa:MaterialSample,Sheet1,10,urn:uuid:7ea55b20-b2e9-4a97-abdc-13abb0eb4b9a,active,rdfs:subClassOf,sosa:Sample and bfo:MaterialEntity and (cco:is_output_of some sosa:Sampling),,verify existing active mapping against external correction,already_represented,"The governed COMS axiom has the same BFO/CCO direction and logical strength as the external corrected axiom. Source-native declarations, domains, ranges, inverses, restrictions, labels, and comments do not require an additional COMS axiom."
11,Common Classes,sosa:Observation,act of carrying out an ObservingProcedure using a Sensor to estimate or calculate a value of an observable Property of a FeatureOfInterest,Decision needed (default in place),subClassOf cco:PlannedAct and (cco:has_process_part some (cco:ActOfMeasuring and cco:ActOfObservation)),"sosa:Observation rdfs:subClassOf cco:ont00000228 , [ a owl:Restriction ; owl:onProperty cco:ont00001777 ; owl:someValuesFrom cco:ont00000345 ] ; rdfs:comment ""Recommended repair pending sign-off: an Observation is a Planned Act that has a process part which is an Act of Measuring. The workbook additionally required an Act of Observation part, but the posted issue-429 position holds that the Act of Observation ('via the use of one or more senses') only OVERLAPS sosa:Observation (an automated spectrometer observation contains no sense-based act); requiring it in every Observation contradicts that position. See Decisions needed.""@en .","sosa:Observation is modeled as a cco:PlannedAct with internal structure because it involves intentional acts of observation and measurement carried out according to a procedure. The cco:has_process_part restriction captures the necessary internal structure without overcommitting to an equivalentTo axiom, since observations may have additional process parts.",exact,sosa:Observation,Sheet1,11,urn:uuid:3677c023-0651-4d65-9427-812b24cf7adb,active,rdfs:subClassOf,cco:PlannedAct and (cco:has_process_part some (cco:ActOfMeasuring and cco:ActOfObservation)),,human decision — determine required process-part commitment,,
